Vocab size: 100
Token : 
 -> Token id : 0
Token :   -> Token id : 1
Token : ! -> Token id : 2
Token : ( -> Token id : 3
Token : ) -> Token id : 4
Token : * -> Token id : 5
Token : , -> Token id : 6
Token : - -> Token id : 7
Token : . -> Token id : 8
Token : 0 -> Token id : 9
Token : 1 -> Token id : 10
Token : 2 -> Token id : 11
Token : 3 -> Token id : 12
Token : 4 -> Token id : 13
Token : 5 -> Token id : 14
Token : 6 -> Token id : 15
Token : 7 -> Token id : 16
Token : 8 -> Token id : 17
Token : 9 -> Token id : 18
Token : : -> Token id : 19
Token : ; -> Token id : 20
Token : ? -> Token id : 21
Token : A -> Token id : 22
Token : B -> Token id : 23
Token : C -> Token id : 24
Token : D -> Token id : 25
Token : E -> Token id : 26
Token : F -> Token id : 27
Token : G -> Token id : 28
Token : H -> Token id : 29
Token : I -> Token id : 30
Token : J -> Token id : 31
Token : K -> Token id : 32
Token : L -> Token id : 33
Token : M -> Token id : 34
Token : N -> Token id : 35
Token : O -> Token id : 36
Token : P -> Token id : 37
Token : Q -> Token id : 38
Token : R -> Token id : 39
Token : S -> Token id : 40
Token : T -> Token id : 41
Token : U -> Token id : 42
Token : V -> Token id : 43
Token : W -> Token id : 44
Token : X -> Token id : 45
Token : Y -> Token id : 46
Token : Z -> Token id : 47
Token : [ -> Token id : 48
Token : ] -> Token id : 49
Token : _ -> Token id : 50
Token : a -> Token id : 51
Token : b -> Token id : 52
Token : c -> Token id : 53
Token : d -> Token id : 54
Token : e -> Token id : 55
Token : f -> Token id : 56
Token : g -> Token id : 57
Token : h -> Token id : 58
Token : i -> Token id : 59
Token : j -> Token id : 60
Token : k -> Token id : 61
Token : l -> Token id : 62
Token : m -> Token id : 63
Token : n -> Token id : 64
Token : o -> Token id : 65
Token : p -> Token id : 66
Token : q -> Token id : 67
Token : r -> Token id : 68
Token : s -> Token id : 69
Token : t -> Token id : 70
Token : u -> Token id : 71
Token : v -> Token id : 72
Token : w -> Token id : 73
Token : x -> Token id : 74
Token : y -> Token id : 75
Token : z -> Token id : 76
Token : Æ -> Token id : 77
Token : É -> Token id : 78
Token : à -> Token id : 79
Token : ä -> Token id : 80
Token : æ -> Token id : 81
Token : ç -> Token id : 82
Token : è -> Token id : 83
Token : é -> Token id : 84
Token : ê -> Token id : 85
Token : ë -> Token id : 86
Token : î -> Token id : 87
Token : ï -> Token id : 88
Token : ô -> Token id : 89
Token : ö -> Token id : 90
Token : ü -> Token id : 91
Token : Œ -> Token id : 92
Token : œ -> Token id : 93
Token : — -> Token id : 94
Token : ‘ -> Token id : 95
Token : ’ -> Token id : 96
Token : “ -> Token id : 97
Token : ” -> Token id : 98
Token :  -> Token id : 99
